Risk factor,Linked disease,Age group,Year,Sex,Attributable deaths,Attributable YLL,Attributable YLD,Attributable DALY
Air pollution,Stroke,45–54,2015,Females,9.6,354.9,56.6,411.6
Air pollution,Stroke,45–54,2015,Males,13.2,491.7,72.2,563.9
Air pollution,Stroke,45–54,2015,Persons,22.8,846.6,128.8,975.4
Air pollution,Stroke,45–54,2018,Females,12.4,458.3,61.9,520.2
Air pollution,Stroke,45–54,2018,Males,13.3,496.1,73.3,569.3
Air pollution,Stroke,45–54,2018,Persons,25.7,954.4,135.1,1089.5
Air pollution,Stroke,55–64,2015,Females,26.4,729.8,97.1,826.8
Air pollution,Stroke,55–64,2015,Males,36.4,1004.5,156.2,1160.6
Air pollution,Stroke,55–64,2015,Persons,62.7,1734.2,253.2,1987.5
Air pollution,Stroke,55–64,2018,Females,25.8,713.7,108.1,821.9
Air pollution,Stroke,55–64,2018,Males,36.4,1010.3,175.7,1185.9
Air pollution,Stroke,55–64,2018,Persons,62.2,1724,283.8,2007.8
Air pollution,Stroke,65–84,2015,Females,142.9,1919.9,268.9,2188.7
Air pollution,Stroke,65–84,2015,Males,150.7,2141.4,390.3,2531.7
Air pollution,Stroke,65–84,2015,Persons,293.6,4061.3,659.2,4720.5
Air pollution,Stroke,65–84,2018,Females,138.3,1898.8,293.7,2192.5
Air pollution,Stroke,65–84,2018,Males,149.6,2161.8,435.3,2597.1
Air pollution,Stroke,65–84,2018,Persons,287.9,4060.6,729.1,4789.6
Air pollution,Stroke,85+,2015,Females,194.8,937.4,79.6,1017
Air pollution,Stroke,85+,2015,Males,89,463,58.2,521.2
Air pollution,Stroke,85+,2015,Persons,283.8,1400.4,137.8,1538.2
Air pollution,Stroke,85+,2018,Females,168.8,789.1,78.4,867.5
Air pollution,Stroke,85+,2018,Males,81.7,418.4,59.6,478.1
Air pollution,Stroke,85+,2018,Persons,250.5,1207.5,138,1345.5
Air pollution,Type 2 diabetes mellitus,15–24,2015,Females,0.1,8.4,9.1,17.5
Air pollution,Type 2 diabetes mellitus,15–24,2015,Males,0.1,8.4,7.9,16.3
Air pollution,Type 2 diabetes mellitus,15–24,2015,Persons,0.2,16.8,17,33.8
Air pollution,Type 2 diabetes mellitus,15–24,2018,Females,0.1,3.9,5,8.9
Air pollution,Type 2 diabetes mellitus,15–24,2018,Males,0.1,8.1,9.7,17.8
Air pollution,Type 2 diabetes mellitus,15–24,2018,Persons,0.2,12,14.7,26.6
Air pollution,Type 2 diabetes mellitus,25–34,2015,Females,0.2,10.8,29.2,40
Air pollution,Type 2 diabetes mellitus,25–34,2015,Males,0.5,25.9,28.5,54.4
Air pollution,Type 2 diabetes mellitus,25–34,2015,Persons,0.6,36.7,57.7,94.4
Air pollution,Type 2 diabetes mellitus,25–34,2018,Females,0.3,17.9,21.8,39.6
Air pollution,Type 2 diabetes mellitus,25–34,2018,Males,0.7,40.3,36.7,77
Air pollution,Type 2 diabetes mellitus,25–34,2018,Persons,1,58.2,58.4,116.7
Air pollution,Type 2 diabetes mellitus,35–44,2015,Females,0.8,35.9,140.7,176.6
Air pollution,Type 2 diabetes mellitus,35–44,2015,Males,1.4,65,146,211
Air pollution,Type 2 diabetes mellitus,35–44,2015,Persons,2.2,100.9,286.7,387.6
Air pollution,Type 2 diabetes mellitus,35–44,2018,Females,0.8,35.4,83.1,118.5
Air pollution,Type 2 diabetes mellitus,35–44,2018,Males,0.9,39.9,87.5,127.4
Air pollution,Type 2 diabetes mellitus,35–44,2018,Persons,1.6,75.2,170.7,245.9
Air pollution,Type 2 diabetes mellitus,45–54,2015,Females,1.8,65.3,314,379.2
Air pollution,Type 2 diabetes mellitus,45–54,2015,Males,4.2,150.9,278.1,429
Air pollution,Type 2 diabetes mellitus,45–54,2015,Persons,6,216.2,592,808.2
Air pollution,Type 2 diabetes mellitus,45–54,2018,Females,2.1,78.1,241.6,319.7
Air pollution,Type 2 diabetes mellitus,45–54,2018,Males,4.6,169.6,309,478.5
Air pollution,Type 2 diabetes mellitus,45–54,2018,Persons,6.8,247.7,550.6,798.3
Air pollution,Type 2 diabetes mellitus,55–64,2015,Females,4.9,134.8,509,643.8
Air pollution,Type 2 diabetes mellitus,55–64,2015,Males,10.9,302.7,755.9,1058.6
Air pollution,Type 2 diabetes mellitus,55–64,2015,Persons,15.8,437.5,1264.9,1702.4
Air pollution,Type 2 diabetes mellitus,55–64,2018,Females,6.4,180.2,493.1,673.2
Air pollution,Type 2 diabetes mellitus,55–64,2018,Males,14.3,396.7,672.6,1069.3
Air pollution,Type 2 diabetes mellitus,55–64,2018,Persons,20.8,576.9,1165.6,1742.5
Air pollution,Type 2 diabetes mellitus,65–84,2015,Females,36.4,470.4,971,1441.4
Air pollution,Type 2 diabetes mellitus,65–84,2015,Males,55.7,797.8,1164.4,1962.2
Air pollution,Type 2 diabetes mellitus,65–84,2015,Persons,92.1,1268.2,2135.4,3403.6
Air pollution,Type 2 diabetes mellitus,65–84,2018,Females,40.7,549.7,972,1521.7
Air pollution,Type 2 diabetes mellitus,65–84,2018,Males,67.6,972.8,1320.9,2293.7
Air pollution,Type 2 diabetes mellitus,65–84,2018,Persons,108.3,1522.5,2292.9,3815.4
Air pollution,Type 2 diabetes mellitus,85+,2015,Females,47.7,245.5,126.2,371.8
Air pollution,Type 2 diabetes mellitus,85+,2015,Males,33.1,182.9,194.9,377.8
Air pollution,Type 2 diabetes mellitus,85+,2015,Persons,80.8,428.5,321.1,749.6
Air pollution,Type 2 diabetes mellitus,85+,2018,Females,50.5,258.2,183.8,442
Air pollution,Type 2 diabetes mellitus,85+,2018,Males,37.3,204,105.8,309.8
Air pollution,Type 2 diabetes mellitus,85+,2018,Persons,87.8,462.2,289.6,751.8
Air pollution,Type 2 diabetes mellitus,Under 15,2015,Females,0.1,5.2,2.3,7.5
Air pollution,Type 2 diabetes mellitus,Under 15,2015,Males,0.1,4.8,1.8,6.6
Air pollution,Type 2 diabetes mellitus,Under 15,2015,Persons,0.1,10,4.1,14.1
Air pollution,Type 2 diabetes mellitus,Under 15,2018,Females,0,0,1.1,1.1
Air pollution,Type 2 diabetes mellitus,Under 15,2018,Males,0,0,2.2,2.2
Air pollution,Type 2 diabetes mellitus,Under 15,2018,Persons,0,0,3.3,3.3
Alcohol use,Alcohol use disorders,15–24,2003,Females,0,0,4265.5,4265.5
Alcohol use,Alcohol use disorders,15–24,2003,Males,1,69.1,9452.6,9521.7
Alcohol use,Alcohol use disorders,15–24,2003,Persons,1,69.1,13718.1,13787.3
Alcohol use,Alcohol use disorders,15–24,2011,Females,0,0,4832.4,4832.4
Alcohol use,Alcohol use disorders,15–24,2011,Males,0,0.6,10833,10833.6
Alcohol use,Alcohol use disorders,15–24,2011,Persons,0,0.6,15665.4,15665.9
Alcohol use,Alcohol use disorders,15–24,2015,Females,0,0,4965.6,4965.6
Alcohol use,Alcohol use disorders,15–24,2015,Males,0,0.3,11131.9,11132.2
Alcohol use,Alcohol use disorders,15–24,2015,Persons,0,0.3,16097.5,16097.8
Alcohol use,Alcohol use disorders,15–24,2018,Females,1,64.8,5108.5,5173.4
Alcohol use,Alcohol use disorders,15–24,2018,Males,0,0.3,11463.6,11463.9
Alcohol use,Alcohol use disorders,15–24,2018,Persons,1,65.1,16572.2,16637.3
Alcohol use,Alcohol use disorders,25–34,2003,Females,3.4,196.2,2951.3,3147.5
Alcohol use,Alcohol use disorders,25–34,2003,Males,3.9,215.3,10465.7,10681
Alcohol use,Alcohol use disorders,25–34,2003,Persons,7.3,411.5,13417,13828.5
Alcohol use,Alcohol use disorders,25–34,2011,Females,2.3,129.4,3265.1,3394.4
Alcohol use,Alcohol use disorders,25–34,2011,Males,6.7,376.3,11811.3,12187.6
Alcohol use,Alcohol use disorders,25–34,2011,Persons,9,505.7,15076.4,15582.1
Alcohol use,Alcohol use disorders,25–34,2015,Females,0.3,15.3,3639.3,3654.6
Alcohol use,Alcohol use disorders,25–34,2015,Males,6.6,361,12998.9,13359.9
Alcohol use,Alcohol use disorders,25–34,2015,Persons,6.8,376.3,16638.1,17014.4
Alcohol use,Alcohol use disorders,25–34,2018,Females,0.4,21.4,3871.7,3893.1
Alcohol use,Alcohol use disorders,25–34,2018,Males,2.9,161.2,13676.7,13837.9
Alcohol use,Alcohol use disorders,25–34,2018,Persons,3.2,182.6,17548.4,17731
Alcohol use,Alcohol use disorders,35–44,2003,Females,9.6,446.2,2075.2,2521.4
Alcohol use,Alcohol use disorders,35–44,2003,Males,26.3,1218.8,12667.3,13886.1
Alcohol use,Alcohol use disorders,35–44,2003,Persons,35.9,1665,14742.6,16407.5
Alcohol use,Alcohol use disorders,35–44,2011,Females,7.5,340.8,2212.4,2553.3
Alcohol use,Alcohol use disorders,35–44,2011,Males,16.1,751.3,13436.4,14187.7
Alcohol use,Alcohol use disorders,35–44,2011,Persons,23.6,1092.1,15648.9,16741
Alcohol use,Alcohol use disorders,35–44,2015,Females,6.4,299.1,2254.2,2553.3
Alcohol use,Alcohol use disorders,35–44,2015,Males,16.1,726,13770.4,14496.4
Alcohol use,Alcohol use disorders,35–44,2015,Persons,22.5,1025.1,16024.6,17049.7
Alcohol use,Alcohol use disorders,35–44,2018,Females,7.7,354.9,2312,2666.9
Alcohol use,Alcohol use disorders,35–44,2018,Males,13.5,622.7,14137.7,14760.4
Alcohol use,Alcohol use disorders,35–44,2018,Persons,21.3,977.6,16449.7,17427.3
Alcohol use,Alcohol use disorders,45–54,2003,Females,6.5,236.7,2864.7,3101.4
Alcohol use,Alcohol use disorders,45–54,2003,Males,47,1764.5,5967.8,7732.3
Alcohol use,Alcohol use disorders,45–54,2003,Persons,53.6,2001.2,8832.4,10833.6
Alcohol use,Alcohol use disorders,45–54,2011,Females,15,543,3249.9,3793
Alcohol use,Alcohol use disorders,45–54,2011,Males,58.6,2158.6,6701.5,8860.1
Alcohol use,Alcohol use disorders,45–54,2011,Persons,73.6,2701.6,9951.4,12653
Alcohol use,Alcohol use disorders,45–54,2015,Females,10.9,409.3,3357.9,3767.2
Alcohol use,Alcohol use disorders,45–54,2015,Males,41.4,1538.6,6850.3,8388.9
Alcohol use,Alcohol use disorders,45–54,2015,Persons,52.2,1947.9,10208.2,12156.1
Alcohol use,Alcohol use disorders,45–54,2018,Females,9.3,347.3,3452.5,3799.7
Alcohol use,Alcohol use disorders,45–54,2018,Males,30,1118.5,6980.9,8099.4
Alcohol use,Alcohol use disorders,45–54,2018,Persons,39.3,1465.8,10433.4,11899.2
Alcohol use,Alcohol use disorders,55–64,2003,Females,14.6,423.8,878.9,1302.6
Alcohol use,Alcohol use disorders,55–64,2003,Males,53.7,1486.5,340.6,1827.1
Alcohol use,Alcohol use disorders,55–64,2003,Persons,68.3,1910.3,1219.4,3129.7
Alcohol use,Alcohol use disorders,55–64,2011,Females,19.3,538.6,1139.6,1678.1
Alcohol use,Alcohol use disorders,55–64,2011,Males,52.1,1469.7,430.4,1900.1
Alcohol use,Alcohol use disorders,55–64,2011,Persons,71.4,2008.3,1570,3578.2
Alcohol use,Alcohol use disorders,55–64,2015,Females,10.2,292,1225.2,1517.2
Alcohol use,Alcohol use disorders,55–64,2015,Males,56.5,1582.8,452.8,2035.6
Alcohol use,Alcohol use disorders,55–64,2015,Persons,66.6,1874.8,1677.9,3552.7
Alcohol use,Alcohol use disorders,55–64,2018,Females,12.8,363.3,1301.7,1664.9
Alcohol use,Alcohol use disorders,55–64,2018,Males,58.6,1642.1,478,2120.1
Alcohol use,Alcohol use disorders,55–64,2018,Persons,71.4,2005.4,1779.6,3785
Alcohol use,Alcohol use disorders,65–84,2003,Females,11.7,139,0,139
Alcohol use,Alcohol use disorders,65–84,2003,Males,75.8,1262,358.2,1620.2
Alcohol use,Alcohol use disorders,65–84,2003,Persons,87.5,1401,358.2,1759.2
Alcohol use,Alcohol use disorders,65–84,2011,Females,20,331.4,0,331.4
Alcohol use,Alcohol use disorders,65–84,2011,Males,66.1,1101.8,448.1,1549.9
Alcohol use,Alcohol use disorders,65–84,2011,Persons,86.1,1433.2,448.1,1881.4
Alcohol use,Alcohol use disorders,65–84,2015,Females,21.8,342.5,0,342.5
Alcohol use,Alcohol use disorders,65–84,2015,Males,94.5,1492.9,521.8,2014.7
Alcohol use,Alcohol use disorders,65–84,2015,Persons,116.3,1835.4,521.8,2357.2
Alcohol use,Alcohol use disorders,65–84,2018,Females,15.8,223.2,0,223.2
Alcohol use,Alcohol use disorders,65–84,2018,Males,70.5,1162.7,577.1,1739.8
Alcohol use,Alcohol use disorders,65–84,2018,Persons,86.3,1385.9,577.1,1963
Alcohol use,Alcohol use disorders,85+,2003,Females,5.2,32.4,0,32.4
Alcohol use,Alcohol use disorders,85+,2003,Males,6.6,39.1,26,65.1
Alcohol use,Alcohol use disorders,85+,2003,Persons,11.9,71.4,26,97.4
Alcohol use,Alcohol use disorders,85+,2011,Females,9.4,47.2,0,47.2
